Designator,Footprint,Quantity,Value,LCSC Part #
3.3V,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,+3.3V,
"BOOT, EN",SW_SKRPACE010,2,SKRPACE010,
"C21, C23",0201,2,100nF,
"C22, C29",0201,2,10uF,
C24,0201,1,10nF,
"C25, C31, C32, C4, C6, C7",0201,6,0.1uF,
C26,0201,1,2.2uF,
C27,0201,1,47uF,
"C28, C30",0201,2,1uF,
C5,0201,1,22uF,
"CR1, CR2, CR3, CR4",CFP3_SOD123W_NEX,4,PMEG10020ELRX,
D1,LED_Cree-PLCC4_3.2x2.8mm_CCW,1,CLV1L-FKB,
D3,SMF50AQTP,1,SMF5.0AQ-TP,
D8,0603,1,LED,
IC2,SOT50P160X60-6N,1,TPS564252DRLR,
J7,GCT_USB4105-GF-A,1,USB4105-GF-A,
L2,INDC2520X100N,1,3.3uH,
"MOSFET1, MOSFET2, MOSFET3, MOSFET4",SOT-23_MCC,4,SI2302-TP,
MOTOR1,Molex_CLIK-Mate_502382-0270_1x02-1MP_P1.25mm_Vertical,1,Motor1,
MOTOR2,Molex_CLIK-Mate_502382-0270_1x02-1MP_P1.25mm_Vertical,1,Motor2,
MOTOR3,Molex_CLIK-Mate_502382-0270_1x02-1MP_P1.25mm_Vertical,1,Motor3,
MOTOR4,Molex_CLIK-Mate_502382-0270_1x02-1MP_P1.25mm_Vertical,1,Motor4,
MT1,XDCR_ICM-42670-P,1,ICM-42670-P,
"R1, R13, R8",0201,3,120,
"R10, R11, R12, R19, R2, R21, R22, R6, R7, R9",0201,10,10k,
R20,0201,1,45.3k,
R23,0201,1,2k,
R24,0201,1,13k,
R25,0201,1,18k,
"R26, R27",0201,2,5k1,
R3,0201,1,100k,
R4,0201,1,50k,
R5,0201,1,220R,
TP3,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,GND,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-666,1,USBLC6-2P6,
U4,WSON10_DLH_TEX,1,BQ25185DLHR,
U7,10LGA_2X2X0p75_BOS,1,BMP390,
VBAT,CONN_S2B-PH-K-S_JST,1,S2B-PH-K-SLFSN,
VBUS,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,VBUS,
